用户是否可抽中多奖品,用户池,用户池列表名字,奖品名字,奖品数目,奖品图片名字
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,五等奖-LAMER面霜,10,LA-MER面霜.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,五等奖-华为手表,10,HUAWEI-WATCH-GT2.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,五等奖-GXA筋膜枪,10,GXA筋膜枪.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,四等奖-华为音响,15,HUAWEI-Sound-X-2021.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,四等奖-苹果蓝牙耳机,15,AirPods-Pro.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,三等奖-戴森吸尘器,10,戴森吸尘器.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,三等奖-ipad,10,ipad.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,三等奖-Switch,10,Switch主机健身环套装.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,二等奖-PS5,6,PS5.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,二等奖-华为手机,6,HUAWEI-P50-Pro.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,一等奖-华为电脑,3,MateBook-X-Pro.png
否,常规抽奖-转正名单,常规抽奖-转正名单 (除总监、上海).xlsx,特等奖-苹果手机,2,iPhone-13-Pro-Max.png
是,筑梦十年-幸运奖,playerpool_number.csv,筑梦十年-幸运奖,10,筑梦十年星火.png
否,加码奖-转正名单,加码奖-转正名单.xlsx,筑梦十年-加码奖,10,筑梦十年星火.png
